emoji_level,font_file,cp_seq,supported
1.0,api_level/21/NotoColorEmoji.ttf,"(127846,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127847,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127848,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127849,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127850,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127851,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127852,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127853,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127854,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127855,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127856,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127857,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127858,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127859,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127860,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127861,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127862,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127863,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127864,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127865,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127866,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127867,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127868,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127869,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127870,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127871,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127872,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127873,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127874,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127875,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127876,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127877,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127878,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127879,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127880,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127881,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127882,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127883,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127884,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127885,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127886,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127887,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127888,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127889,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127890,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127891,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127894,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127895,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127897,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127898,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127899,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127902,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127903,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127904,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127905,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127906,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127907,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127908,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127909,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127910,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127911,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127912,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127913,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127914,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127915,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127916,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127917,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127918,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127919,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127920,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127921,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127922,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127923,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127924,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127925,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127926,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127927,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127928,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127929,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127930,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127931,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127932,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127933,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127934,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127935,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127936,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127937,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127938,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127939,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127940,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127941,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127942,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127943,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127944,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127945,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127946,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127947,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127948,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127949,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127950,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127951,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127952,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127953,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127954,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127955,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127956,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127957,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127958,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127959,)",False
